booking_id,user_id,worker_id,category,subcategory,scheduled_time,created_time,status,price,tip,feedback_rating,feedback_text,rework_required
b9ddc9f0-3cdd-4d6e-83e8-2b4320c7f7df,812840b0-98f7-418d-af65-e396054af4c0,5b1cd113-587d-42b8-9b57-01571df90b3b,plumber,plumber_general,2025-11-05T19:15:21.000Z,2025-07-24T15:11:54.000Z,completed,254,0,5,Circumvenio totus numquam.,false
e2aa1196-8386-4e4d-b694-cdca4afaf4db,da6d2426-f2da-40ff-9e83-696bc36f3505,41662dd1-4bd1-4e0a-a0e5-a25bffcdf020,carpentry,carpentry_general,2025-11-17T01:11:08.000Z,2025-07-13T13:58:45.000Z,requested,2520,0,,,false
b8441874-fd88-43af-8e10-f381d1a02803,58288cd7-4430-454f-8859-27a76fe99936,,electrician,electrician_general,2025-11-03T16:41:45.000Z,2025-07-22T15:24:10.000Z,requested,2809,339,,,false
f880cf7c-ccc3-4c2b-80ed-a1debf1b82ac,0627fe49-82f6-48a3-8336-3ebedb3922a9,4919fbd7-55a8-471a-9b3c-e27e7d310f2d,beauty,beauty_general,2025-11-11T10:11:49.000Z,2025-07-29T20:29:50.000Z,completed,2179,134,5,Annus alo aestas accedo.,false
34118ba8-7aea-4098-a79a-07d81cfd589b,a77a1511-37c7-4518-849f-137fce5f10de,,cleaning,cleaning_general,2025-11-12T08:34:27.000Z,2025-09-15T20:51:29.000Z,completed,1647,436,4,Strenuus tantum canonicus.,false
5f498f62-d0e1-49b5-8d96-51a55f4efd0d,d9a2dd8e-dbb1-4410-a2e3-f9373fd0fb1a,,electrician,electrician_general,2025-11-08T14:20:35.000Z,2025-08-15T16:32:34.000Z,cancelled,1484,22,,,false
419283e4-1d6d-4487-a867-a6abb70cea88,8ee15caa-f58f-4ba2-a367-7e132bfeb05d,73167e29-5166-45cd-a226-5df2c9a4189f,ac_repair,ac_repair_general,2025-11-12T18:04:58.000Z,2025-07-09T13:25:43.000Z,completed,3271,0,3,Ullam antiquus chirographum cubicularis sono crustulum capitulus ademptio.,false
65816cbc-75d2-4be4-8383-d35e3e3e5375,56ecfc78-e846-481b-a16c-7d5f30dc3f8f,1af79e6a-7f8e-48a6-8ea0-0a1b58236a24,carpentry,carpentry_general,2025-11-03T10:14:19.000Z,2025-07-26T05:50:11.000Z,requested,460,0,,,false
de9f7e12-9113-4ce5-afc3-9fd54d825a2b,62ff5a8d-a0cb-48ee-a89f-452eb1fbd08b,ddaf0e23-d664-4313-89bb-5e51f8f6c1d2,plumber,plumber_general,2025-11-10T05:06:55.000Z,2025-08-04T05:05:33.000Z,completed,3884,65,3,Vomito aliquam commodo tot perspiciatis libero.,false
0f315b30-0425-4257-9b37-df86a727fa4f,42889bfe-1542-4883-8bb0-6e85431d140c,8189740a-dbee-47b6-9e9c-09b40b56811f,plumber,plumber_general,2025-11-07T17:42:24.000Z,2025-09-28T12:47:24.000Z,requested,3776,160,,,false
f9c8f29c-ae9d-4247-8d6a-6c3996b0d5c4,dd544cd5-927f-42fd-bf23-0ba2c426145d,6f720c80-6ef0-410d-b113-eb9cbb19c903,plumber,plumber_general,2025-11-09T08:25:05.000Z,2025-09-15T01:29:28.000Z,requested,444,0,,,false
7d774239-9369-4c54-8b8d-3c294198795a,09231814-7275-4dcf-889f-68681cf1c33b,99603976-1581-4178-845c-d55df5c74a74,pest_control,pest_control_general,2025-11-07T05:36:41.000Z,2025-10-18T17:19:18.000Z,cancelled,4587,0,,,false
eb079107-002e-4c77-ba71-b07d1b0fafa3,bd57430f-7004-4051-90ae-6d0c1decd84a,d1f90eab-45ea-4059-8210-a550bcdac974,pest_control,pest_control_general,2025-11-08T20:29:48.000Z,2025-09-29T11:16:42.000Z,requested,2697,0,,,true
4095f98e-3881-4ebe-9f7c-9f3022613174,3ff35ef7-58b4-4b00-a655-7534f679f3ab,90d2c92c-7ad4-45f8-b846-843928b3b5ff,pest_control,pest_control_general,2025-11-16T18:55:29.000Z,2025-10-21T16:33:35.000Z,cancelled,2355,0,,,false
60d2b017-1eb5-49bc-b6ef-3ebe6a3c97b8,0a7d4418-557d-4183-b347-7de94dcc0cd9,,electrician,electrician_general,2025-11-07T01:01:19.000Z,2025-07-07T08:24:22.000Z,cancelled,3035,251,,,false
f77c63ce-0d74-4035-813b-ac2075c8e056,d59cb866-65b2-4fc4-80bb-f41e4b0c2b8f,6f720c80-6ef0-410d-b113-eb9cbb19c903,plumber,plumber_general,2025-11-03T10:57:09.000Z,2025-10-29T03:02:12.000Z,requested,752,0,,,false
b6f53ff9-338c-41b1-ad8f-c7281e3d434b,2925b866-801e-41be-9459-efb1a6703c74,eeee889e-dca9-4e33-8f87-dd22cc3d77f8,plumber,plumber_general,2025-11-11T04:28:52.000Z,2025-09-23T03:33:30.000Z,requested,601,0,,,false
cc4f1d14-7065-4ab1-90c8-8f73ad8b8602,7f923b07-26b7-4245-a199-0665856c2984,,plumber,plumber_general,2025-11-13T14:16:03.000Z,2025-10-27T21:54:32.000Z,completed,869,0,4,Decens amet usus est valetudo decens capillus cohors.,false
9c333e25-78d1-4156-856d-dcc02b9abea4,2df6b68d-1835-4a09-b4a2-bafe40a9019e,5f7c9188-b5d9-40be-8a69-29805363dbb5,ac_repair,ac_repair_general,2025-11-09T05:11:29.000Z,2025-10-19T00:01:48.000Z,requested,4328,0,,,false
8f36066f-5dc2-4fa9-80b0-216cb1c703cb,8656c9e7-9a9b-4381-b67a-f9b8a1457024,88c0da02-0c20-4287-b3fd-578c686c8d0e,pest_control,pest_control_general,2025-11-04T12:03:00.000Z,2025-07-12T10:15:03.000Z,cancelled,4700,0,,,false
6ee2ceeb-8c85-4487-8849-ac9c212d87c1,6160e8d0-346c-4631-91c7-ba22cb610403,941d1af1-3c1d-40e1-8ed8-c1258d8aaecf,cleaning,cleaning_general,2025-11-11T15:44:10.000Z,2025-07-08T10:22:27.000Z,accepted,4897,0,,,false
3e1a70ef-e35f-4197-b2e2-95639fdacd79,5e59b557-d1aa-48e9-9a9b-2e0a93024ed1,117bcbe0-da2a-4853-b731-d957d56c3a68,carpentry,carpentry_general,2025-11-14T19:56:17.000Z,2025-10-31T03:39:33.000Z,requested,4865,0,,,false
95418299-726e-475a-9913-755745c8dfe4,745135c2-5189-4dd4-922f-a0273c99749b,,beauty,beauty_general,2025-11-03T20:01:10.000Z,2025-10-03T10:51:33.000Z,completed,3294,284,3,Uberrime tendo incidunt varietas contego depromo sodalitas.,false
51a322b2-fc69-40d4-91c5-9dc5d689199d,8bac78c6-b66c-4253-a539-cc5f96dbb37d,41662dd1-4bd1-4e0a-a0e5-a25bffcdf020,carpentry,carpentry_general,2025-11-08T01:31:51.000Z,2025-08-27T20:40:59.000Z,completed,4427,267,3,Desolo sulum denuo verto hic aequitas.,false
2c8b8059-af94-40ce-897d-3680b356a154,478c116e-d8ec-4424-b399-93c67f46ae2b,16b408b6-471a-4bb5-8df4-4bb8e2700079,beauty,beauty_general,2025-11-16T16:29:08.000Z,2025-07-29T23:03:34.000Z,requested,1815,0,,,false
9a722ae4-8f46-4508-a32b-ceed13151ab2,97b7de64-9e39-4ab2-9be2-3f2d73d78592,5f7c9188-b5d9-40be-8a69-29805363dbb5,ac_repair,ac_repair_general,2025-11-05T22:01:01.000Z,2025-07-05T01:51:11.000Z,accepted,2926,0,,,false
51688c0f-f159-4575-ab56-9fa156b7ad1c,c496af0f-1774-49d4-81ac-f2e73f3bc6b9,,electrician,electrician_general,2025-11-07T07:54:57.000Z,2025-09-12T17:41:45.000Z,cancelled,408,309,,,false
b072ff0a-d5b3-42ea-9d82-6e03441d2d57,0541afe4-ceee-4c41-970f-5fc613adf220,c5d3d495-557d-4c74-add7-b525acd074a3,carpentry,carpentry_general,2025-11-10T12:34:36.000Z,2025-08-01T23:48:03.000Z,requested,2826,0,,,false
16c67fde-1936-4a98-8dad-eb6346b0dc76,39e42dbe-2289-4792-87a6-a75460ad50f4,8b877ccc-39c8-4cd2-a494-f35f375c42e5,plumber,plumber_general,2025-11-03T12:34:27.000Z,2025-09-02T18:04:38.000Z,cancelled,3856,498,,,false
