event_id,user_id,page,time_spent,timestamp,metadata
ee67e0b9-2c12-4841-8b2f-f6bc8ccf4ea2,b4a6d530-f537-4439-a186-85916376aa62,booking_flow,527,2025-09-01T16:37:15.000Z,"{""search"":""ultio""}"
e77e5a0f-2220-4c77-af30-97373fe874b2,6af8cce3-de65-4fa6-9c42-89d7d4936d3c,booking_flow,413,2025-08-06T07:40:33.000Z,"{""search"":""cohors""}"
242d19ef-e892-4338-a833-c39389f1bb36,0793c5b9-d82d-4cf1-a97a-f8a54504277c,booking_flow,419,2025-08-29T21:12:38.000Z,"{""search"":""tergiversatio""}"
4fccc616-535a-4144-93ed-acb1d78ff450,d05b1960-341a-434e-876b-e0795cff43f7,home,194,2025-08-23T14:34:32.000Z,"{""search"":""campana""}"
1c3d5ef8-85e4-499f-8645-b3709773be4f,1cbebdba-6ea6-4148-b438-2c79256cc393,search,410,2025-10-23T09:51:23.000Z,"{""search"":""via""}"
efd4205f-9509-4ff8-bd1f-865cef984b2f,c165e25e-580f-4da0-9184-99d49c7d2bf5,booking_flow,512,2025-08-21T02:21:59.000Z,"{""search"":""conventus""}"
d02cc720-5a6d-413b-9a7e-01091d82abf2,f5026f2c-1f6c-45a3-82fe-eac155a529d6,profile,588,2025-10-10T02:28:10.000Z,"{""search"":""territo""}"
2a16ceb3-c963-4b64-b2a9-fb85b54c4228,011b1774-d25c-40ad-aee5-91415e5867f4,profile,20,2025-09-09T21:06:22.000Z,"{""search"":""vomica""}"
62c30694-64e3-4255-b9bd-af902554a45e,5136dd08-6315-4f58-8b5f-f474409804e3,booking_flow,238,2025-09-04T01:00:03.000Z,"{""search"":""supellex""}"
f52a8dd6-d537-4d77-a017-71198bb4a906,2b4e9694-2f90-4424-903a-d58018d16fb3,home,129,2025-08-03T21:48:01.000Z,"{""search"":""acies""}"
55730eff-fd98-40e3-9bbc-27b065c8912b,95e0aec2-4b1c-4bb1-bbad-00528e6d0205,home,215,2025-09-24T14:49:42.000Z,"{""search"":""acer""}"
e6b30be9-2bff-48dc-8566-0a8c508ddc8b,d5f4eec9-185c-4ce0-9cfc-210aaf659dec,checkout,249,2025-09-15T22:08:45.000Z,"{""search"":""dedico""}"
ab5f77a1-a50c-4f95-abe5-83ac3827a0b5,37d10956-610e-436f-9d18-bbc727a911f2,profile,446,2025-11-02T20:29:12.000Z,"{""search"":""capitulus""}"
841166a2-657d-45ff-a38e-bdc9a4291491,6e8bd33c-c056-4d6e-bfca-61955b7c627f,home,300,2025-08-08T10:21:15.000Z,"{""search"":""vae""}"
f54672be-70f5-4367-846e-a50967d728b4,32a72541-8c9d-4269-8abb-a1bbfba8dfc9,search,111,2025-08-18T05:28:06.000Z,"{""search"":""quaerat""}"
89870818-7d6f-47f2-adc3-f47b0599c8fa,ac8fffae-6dee-4d62-a5c3-799eac9d43eb,booking_flow,296,2025-07-09T10:03:46.000Z,"{""search"":""adopto""}"
a2612c50-b0c8-4d42-91be-b905f84162fd,55df0a3b-cc62-49ce-8731-c8a20fc67e3c,home,98,2025-10-14T20:39:23.000Z,"{""search"":""depromo""}"
ca605436-bb39-453f-b1d6-f3fc9cb5ef44,111b2758-ba87-46d5-b4b5-d5b065df7dbf,checkout,397,2025-07-09T04:23:55.000Z,"{""search"":""turba""}"
176c5ab4-9ba5-4440-9ab0-fcbde47aeba8,09231814-7275-4dcf-889f-68681cf1c33b,booking_flow,64,2025-07-28T07:48:34.000Z,"{""search"":""depulso""}"
eb9cd9ea-9720-4333-a57d-53ffc5624a97,66c4deac-98f4-4249-82e6-d35047f6a608,checkout,514,2025-08-03T21:34:39.000Z,"{""search"":""demergo""}"
91e3061b-d6f8-48c2-93d0-499ae263d3bf,d0382dcc-d3b5-4a1b-8f01-164c77b55cc0,booking_flow,327,2025-09-09T06:28:48.000Z,"{""search"":""absque""}"
790165e0-d0d6-4a2c-a70c-bc70eae3bff5,833cf5b4-eac0-4984-a49b-09229475a7f5,checkout,220,2025-09-22T23:26:30.000Z,"{""search"":""considero""}"
42006647-e4c0-4e55-974e-0162c344ed80,3bd13000-c47c-4760-a91c-4aa944d029d5,booking_flow,149,2025-08-18T19:24:55.000Z,"{""search"":""demo""}"
6567333a-4067-4fa1-a7bd-9e86700936a6,15f57aaf-dcf3-49e9-8f17-f6b0be600eb1,home,506,2025-07-30T09:19:56.000Z,"{""search"":""deputo""}"
1a058b59-1b30-4a07-ad5a-eb86e49d37c7,24580e14-14d9-43dc-8cd9-8538e9e5baaa,booking_flow,571,2025-07-30T08:18:44.000Z,"{""search"":""patior""}"
0c8f8ad2-8f4f-4dc2-a2da-8f2f826c1e30,e9061b12-6767-4b58-a459-7b8c77a36906,search,329,2025-10-03T23:50:42.000Z,"{""search"":""defleo""}"
736ceb66-11ef-493a-a9d7-2652045e4cb7,9517bf58-d524-4e25-b7df-6e22f827cdd9,booking_flow,305,2025-09-09T04:38:43.000Z,"{""search"":""saepe""}"
6940dc01-cb42-42ce-b94f-5bebe35a72c5,93ca9d84-9f9a-4e8f-b283-723352c3601e,search,292,2025-07-12T09:57:18.000Z,"{""search"":""temeritas""}"
fc044859-eb0f-4251-92f9-32d25616cc3c,7fd761ed-4cc3-494c-a2a5-01a3a6b7425a,profile,504,2025-07-06T21:41:14.000Z,"{""search"":""cattus""}"
98d1751b-7100-46e4-9297-b53b7d016504,f8d8c0c8-71b2-4320-9a42-578576d0d3b6,search,485,2025-07-22T17:47:49.000Z,"{""search"":""culpa""}"
f96a6f02-cd84-4b23-acb8-2d1ab4c0e6d5,c9d4b386-825a-4888-9fe5-581433a62edd,booking_flow,595,2025-07-29T20:53:36.000Z,"{""search"":""voluptatibus""}"
7a1f7746-c145-443f-9d3e-619872c8d3fa,2d7922a4-673c-4f6e-9e22-78556b1bec31,booking_flow,255,2025-07-31T15:55:26.000Z,"{""search"":""acies""}"
c49e4e23-88e3-4f9a-a0f5-7071fdb8c210,370f7f65-e561-4f1c-b800-eba73a9b5f11,search,15,2025-10-25T20:15:13.000Z,"{""search"":""deduco""}"
62da7bf0-ff2e-4b3c-9222-b0862155f377,6205e2c6-cdf1-4c15-8a79-fd59079be4ea,search,53,2025-10-24T03:34:44.000Z,"{""search"":""mollitia""}"
3dc68a3a-9694-499f-a114-4ffb29e789aa,52d0d4eb-a50d-4259-9732-1d0f31919d0c,search,198,2025-07-31T12:44:57.000Z,"{""search"":""amiculum""}"
43140509-50d1-460d-b4b2-fd0128f9473f,ebd659b9-4570-4e8c-828e-356696a72f38,checkout,65,2025-07-10T09:09:49.000Z,"{""search"":""cibo""}"
714a45b5-09ed-4522-a52a-f15f0055c669,8ee15caa-f58f-4ba2-a367-7e132bfeb05d,search,274,2025-10-24T14:46:51.000Z,"{""search"":""angulus""}"
9ad167af-0c17-45cb-bdd5-816af5dc81e1,655e56cc-1b72-4405-b469-b9addd248524,profile,268,2025-09-28T12:14:29.000Z,"{""search"":""trans""}"
9190091b-b18f-4447-8da7-ab0813da7646,e8a77d40-ed52-4a16-9190-aa72157a0bb7,booking_flow,509,2025-10-01T00:11:43.000Z,"{""search"":""vesco""}"
8af4041c-42f0-4fa8-baf1-a7d76ec37b3b,71559f25-92b6-4fa5-bbdc-46764c04224c,home,210,2025-07-06T06:05:09.000Z,"{""search"":""theologus""}"
bdb9a723-2c76-4426-a533-d5de9ee3df8e,e46616cd-e0c8-437d-b6f9-7409988d58a3,search,124,2025-07-26T06:18:37.000Z,"{""search"":""vae""}"
0975d563-fabf-4877-bbec-84dd3a834bfa,a79b2df9-ad5f-4a6a-881c-9c28cfed3d23,checkout,585,2025-10-30T22:58:53.000Z,"{""search"":""caste""}"
488d8434-293d-4f6e-9d82-9c1ecd930712,290bbc2a-2fa1-42a7-bb4a-28fa0f2b8422,booking_flow,315,2025-09-28T09:06:25.000Z,"{""search"":""contigo""}"
